GlyTouCanAccession	BCSDBAccession
G00016MO	6273
G00024MO	100213
G00031MO	149993
G00031MO	26644
G00032MO	149992
G00032MO	1741
G00032MO	6256
G00036MO	506
G00039MO	20406
G00039MO	25664
G00046MO	101602
G00046MO	1805
G00048MO	287
G00051MO	10701
G00051MO	127739
G00051MO	284
G00051MO	2935
G00051MO	3558
G00051MO	7497
G00051MO	7541
G00051MO	7820
G00051MO	8624
G00052MO	10243
G00052MO	10704
G00052MO	285
G00052MO	3526
G00052MO	6361
G00052MO	6366
G00052MO	7539
G00052MO	7822
G00052MO	8803
G00054MO	26818
G00054MO	6922
G00055MO	110609
G00055MO	130607
G00055MO	20052
G00055MO	24910
G00055MO	7825
G00056MO	7823
G00059MO	136210
G00059MO	136653
G00059MO	2432
G00061MO	136654
G00065MO	26817
G00068MO	10563
G00070MO	5547
G00070MO	6605
G01232PN	113449
G01650PH	6368
G01706RV	23165
G01767JJ	129898
G02096VT	2572
G02963KR	6617
G03071KV	23174
G03085SQ	4651
G03536SO	21671
G04216GB	126725
G04690JX	20538
G04690JX	23173
G04690JX	6920
G04941YC	25822
G04941YC	819
G04949TM	114172
G05979DP	23297
G05979DP	263446
G06239NA	25819
G06239NA	7247
G06580KR	8737
G07147BT	21673
G07670VS	144081
G08822BC	25765
G09342SH	100215
G09494DM	110610
G09494DM	137963
G09494DM	25823
G09494DM	820
G09507TI	26950
G10158SF	20201
G10254ON	25766
G11173HB	115935
G12337MH	22868
G12337MH	23613
G12507OZ	7831
G12661AN	26638
G12878WE	1332
G12878WE	2569
G13113SB	105476
G13113SB	135903
G13827OW	26952
G13827OW	4648
G14023WK	162
G14226PU	123733
G14226PU	24983
G14638QN	125962
G14769CB	113444
G14787DY	101080
G14801WA	21736
G15031WB	124117
G15109TD	5683
G15195YB	20385
G15413IC	1803
G15541SE	20341
G15541SE	3744
G15541SE	6501
G15541SE	8942
G16235VG	112947
G16235VG	116463
G16235VG	121712
G16235VG	128684
G16235VG	21669
G16235VG	25252
G16235VG	26901
G16235VG	4702
G16302TV	113445
G16561MI	114174
G16926ZT	134063
G17063ZC	8743
G18096XU	2570
G18438YA	22480
G18438YA	24909
G18438YA	26953
G18625KA	103669
G19059PI	21670
G19089MC	26484
G19089MC	26966
G19927IA	101085
G20544UR	20305
G21939WM	117114
G22174FD	136688
G22325PI	23170
G22805IF	160
G22805IF	205
G22917YC	5408
G23068LG	23301
G23268NB	23302
G23706QF	1331
G23706QF	141618
G23706QF	2567
G23706QF	825
G23909UE	4434
G24090VR	23169
G24481XT	101199
G25186NY	144016
G25656CV	264536
G26014QP	26957
G26039ES	2141
G26039ES	26961
G26089XS	101033
G26089XS	10573
G26089XS	117746
G26089XS	118190
G26089XS	122543
G26089XS	126836
G26089XS	23633
G26089XS	24809
G26089XS	24810
G26089XS	26283
G26089XS	26900
G26089XS	4902
G26089XS	6270
G26089XS	6569
G26089XS	6889
G26089XS	7122
G26089XS	7490
G26089XS	7491
G26089XS	8005
G26089XS	8902
G26089XS	8931
G26089XS	9233
G27609YZ	161
G27609YZ	204
G28141KV	101078
G28553AZ	106591
G28553JC	8421
G29313LW	100209
G29751MN	25827
G29991XU	117239
G30377PI	6649
G30409YH	112367
G30532XG	113269
G30666MK	20007
G31618LI	11423
G31709QL	134990
G31709QL	144939
G31761VE	26958
G31763WG	1806
G32114AT	2571
G32252UW	7245
G32397EL	25665
G32781YS	21676
G32930BG	125188
G32986TN	2441
G33202JT	26452
G33883EH	203
G34022KC	112
G34294BW	6596
G34650EM	135904
G35146UA	106308
G35146UA	106430
G35146UA	128259
G35146UA	136198
G35146UA	144847
G35448LP	149589
G35724FX	6219
G35777BB	103376
G35841YO	143736
G37117TJ	23290
G37125WK	22706
G37552GA	23299
G38004VG	1833
G38310GJ	20338
G38310GJ	6916
G38999IM	112371
G38999IM	9016
G39023AU	286
G39023AU	7819
G39453SO	156
G39453SO	168
G39453SO	21870
G39453SO	23177
G39453SO	25598
G39453SO	288
G39453SO	3527
G39453SO	3588
G39453SO	58
G39453SO	6391
G39453SO	7818
G39995KJ	20204
G39995KJ	23171
G39995KJ	6919
G39995KJ	6940
G40004EU	1745
G40004EU	20340
G40389FN	115932
G40696TO	117129
G40696TO	130435
G40696TO	41
G40696TO	7824
G40764VP	1723
G40764VP	8320
G40768MU	101601
G40955CS	2143
G40955CS	4432
G41702OS	1799
G41876BL	129745
G42049JU	20337
G42049JU	6917
G42105XL	26956
G42727QA	115936
G42937NS	106299
G42937NS	144845
G42970NZ	113277
G43277KK	113275
G43382JE	143993
G43382JE	143994
G43534QA	26951
G43702JT	10190
G43702JT	5722
G43702JT	6606
G43702JT	6937
G43702JT	8800
G43702JT	9001
G43702JT	9301
G43788SW	135852
G43788SW	1731
G44008CQ	123553
G44008CQ	123819
G44612JM	23292
G44865OQ	143729
G45003JO	20336
G45003JO	23172
G45003JO	6918
G45802NQ	25770
G46392BZ	106312
G46392BZ	144848
G46392BZ	236200
G46677TE	130464
G47548GA	112191
G47548GA	112193
G47773BX	25817
G48059CD	144065
G48148JS	143730
G48558GR	110354
G48558GR	130463
G48558GR	141385
G48558GR	23623
G49108TO	4060
G49112ZN	542
G49963IQ	6388
G50093PV	25764
G50448ZV	143733
G50540JU	6364
G50886AE	139733
G50886AE	1770
G50886AE	26819
G50886AE	6861
G51056AN	100208
G51056AN	103956
G51056AN	106266
G51056AN	112990
G51056AN	131674
G51056AN	142890
G51056AN	143679
G51056AN	20152
G51056AN	26584
G51291FK	115934
G51331BY	27012
G51352HP	20302
G51465VH	101081
G51465VH	101084
G51535NO	14458
G51699SI	136197
G51828AY	23168
G52102FU	4811
G52342NM	6004
G52556IZ	106588
G52966FX	129899
G53402KW	136630
G53402KW	141619
G53851IA	1801
G54606KH	6650
G55220VL	126005
G55561NA	21674
G55699TS	23303
G55914PY	3778
G55914PY	7763
G56154DE	121722
G56901CH	101195
G57284NN	23166
G57321FI	20405
G57321FI	20407
G57321FI	20408
G57321FI	25663
G57321FI	26846
G57486VD	3401
G58161NS	131614
G58161NS	131615
G58161NS	131763
G58161NS	145929
G58161NS	145930
G58161NS	21420
G58161NS	22721
G58161NS	22754
G58161NS	23093
G58732VR	113270
G58804BL	20304
G58868UH	144017
G58896AZ	25824
G58896AZ	7246
G58896AZ	935
G59311AO	143732
G59594LT	20339
G59594LT	22455
G59716ZO	101086
G60246MX	2153
G60268QL	25820
G60277KD	20401
G60366UG	7832
G61305ZB	213446
G61305ZB	22744
G61418DU	20409
G61459JW	130436
G61459JW	283
G61459JW	6369
G61491DK	20067
G61491DK	22628
G61491DK	22869
G61491DK	23106
G61491DK	23919
G61776FU	2142
G61776FU	4433
G61896ZX	148454
G62204FH	115931
G62204FH	1721
G62288XJ	23294
G63250DI	113276
G63336AX	100211
G63993FI	1333
G64262FG	26821
G64402PV	20384
G64943CI	107873
G65214YE	129744
G65437NL	123820
G65889KE	131845
G65889KE	23947
G66163TI	3476
G66213AR	1724
G66213AR	20430
G66213AR	6851
G66325LQ	9376
G66720TG	10313
G66763JM	130170
G67431EZ	131798
G67710XV	129900
G67710XV	1748
G67710XV	813
G67988RO	130507
G67988RO	144064
G67988RO	144068
G67988RO	4305
G67988RO	7117
G68103UN	149996
G68110IF	141387
G68113KQ	101087
G68185CW	20303
G68544GH	23683
G68558BC	23431
G68558BC	26968
G68596GJ	135527
G69030ZC	103783
G69265FU	4430
G69440RD	26816
G69440RD	8739
G69952BC	115207
G70272VK	2546
G70323CJ	3436
G71124KE	26965
G71142DF	124387
G71142DF	146911
G71399NJ	10312
G71730FG	218
G71987VX	113447
G72229WI	149590
G72618IM	7849
G72627IU	101079
G72627IU	106589
G73753UM	125963
G73930BC	115803
G73954OI	136651
G74009LP	101037
G74009LP	111111
G74009LP	130703
G74009LP	140256
G74840NI	21868
G74917JX	6362
G74960IM	25666
G74962NF	206
G74983EE	1802
G75291AO	4649
G75372BZ	138790
G75485SI	131846
G75557QL	101600
G75632XE	6939
G76044NZ	101082
G76540HB	22971
G76949FV	101083
G76949FV	113448
G77384RA	26964
G77426ZL	5301
G77700XQ	113271
G77761PN	25352
G77901GR	129728
G78082BD	115801
G78249UI	249992
G78260AJ	100171
G78297FC	3436
G78641QJ	1787
G78641QJ	26820
G79214AG	2160
G79379XF	114225
G79444AJ	113273
G79471SO	106590
G79535HZ	6221
G79536OW	149588
G79648LW	7833
G80123RH	113272
G80126GC	8372
G80384UV	134997
G80384UV	23083
G80587NA	7821
G81245YS	25821
G81485FV	23291
G82662IE	113450
G82746GL	25763
G83099NF	101193
G83582BK	126724
G83645HN	113443
G83916HL	6365
G84034JH	7163
G84117HN	106592
G84224TW	136652
G84224TW	26959
G84444TS	1832
G84444TS	6026
G84462PG	149573
G84570YO	216
G84575BO	6820
G84596VQ	25818
G84899DL	115937
G85016IG	144841
G85016IG	2568
G86299UP	20301
G86482BL	26642
G86633LD	26475
G86633LD	5634
G86723LO	130169
G86723LO	143972
G87090RU	25768
G87492XO	23342
G87776GF	123551
G87776GF	20099
G87838NG	5034
G87841AX	160213
G87885DY	101604
G88194GI	159
G88206YY	1808
G88622CQ	137882
G88743PL	110614
G88799YH	106307
G88799YH	106429
G88799YH	236198
G89090WX	130161
G89329UM	1714
G89523CC	6616
G89973QY	8687
G91079GH	106314
G91079GH	136297
G91079GH	138242
G91079GH	144851
G91083SV	109721
G91136CV	8741
G91237TK	20529
G91562NO	215
G91844AP	113451
G92042VQ	143735
G92082JS	23289
G92233FE	1798
G92550NU	20217
G92992DL	25767
G93507IP	23167
G93641DP	113746
G93760FW	23304
G94641WA	113446
G94678GU	115933
G94946WE	6005
G95051LD	113274
G95418WH	26485
G96179XD	25769
G96487RC	23105
G97100OC	25828
G97100OC	936
G97179UV	135902
G97179UV	143734
G97304IA	20427
G98173LG	6363
G98544DH	141386
G99059WO	136687
G99506BB	124345
G99821VN	24915
