label	nonspec	spec	total	percent	fisherscore	
H5N4F2S	Y[pN]	61	42	103	59.22	-146.73	
H5N4F2S	Y[pH2N2]	44	25	69	63.77	-123.67	
H5N4F2	Y[pN]	25	5	30	83.33	-114.23	
H5N4F2S	Y[pH4N3]	45	37	82	54.88	-94.73	
H5N4F2S	Y[pH3N2]	35	22	57	61.4	-93.09	
H5N4F2S	Y[pH3N3]	44	38	82	53.66	-88.61	
H6N4FS	Y[pN]	14	2	16	87.5	-71.05	
H8N7S	Y[pH3N3]	15	3	18	83.33	-70.2	
H5N4F2S	Y[pN2]	22	11	33	66.67	-69.97	
H8N7S	Y[pN]	18	7	25	72.0	-66.0	
H5N4F2S	Y[pH5N4]	27	20	47	57.45	-64.81	
H4N5FS	Y[pN]	10	0	10	100.0	-64.1	
H5N3F	Y[pN]	10	0	10	100.0	-64.1	
H5N4F3S	Y[pN]	17	7	24	70.83	-60.98	
H5N4F2	Y[pH5N4]	14	4	18	77.78	-59.06	
H6N3	Y[pN]	13	3	16	81.25	-58.97	
H5N4F2S	Y[pH4N3S]	30	28	58	51.72	-58.02	
H3N5F	Y[pN]	10	1	11	90.91	-54.7	
H5N4F2	Y[pH3N2]	13	4	17	76.47	-53.71	
H4N5F	Y[pN]	12	3	15	80.0	-53.43	
H4N5	Y[pN]	8	0	8	100.0	-51.28	
H6N3S	Y[pN]	14	6	20	70.0	-50.1	
H5N4F2	Y[pH3N3]	13	5	18	72.22	-49.18	
H5N4F2S	Y[pHN2]	20	15	35	57.14	-49.03	
H5N4F2	Y[pH4N3]	12	4	16	75.0	-48.43	
H8N7S	Y[pH5N4S]	11	3	14	78.57	-47.96	
H5N4F3	Y[pN]	7	0	7	100.0	-44.86	
H5N3	Y[pN]	11	4	15	73.33	-43.23	
H4N5FS	Y[pNF]	8	1	9	88.89	-42.72	
H8N7S	Y[pH2N2]	9	2	11	81.82	-42.28	
H4N5F	Y[pN2]	9	2	11	81.82	-42.28	
H5N4F2	Y[pH2N2]	13	7	20	65.0	-41.66	
H4N5F	Y[pH3N3F]	12	7	19	63.16	-37.06	
H4N5FS	Y[pH3N3F]	8	2	10	80.0	-36.71	
H5N4F3S	Y[pH2N2]	11	6	17	64.71	-35.68	
H8N7S	Y[pH5N4]	9	4	13	69.23	-33.13	
H5N4F2	Y[pN2]	8	3	11	72.73	-32.05	
H4N5F	Y[pNF]	8	3	11	72.73	-32.05	
H5N5S	Y[pN]	8	3	11	72.73	-32.05	
H4N3F	Y[pN]	8	3	11	72.73	-32.05	
H6N4S	Y[pH4N3]	8	3	11	72.73	-32.05	
H4N5FS	Y[pH4N3F]	5	0	5	100.0	-32.04	
H5N3F	Y[pH3N2]	5	0	5	100.0	-32.04	
H4N4S	Y[p]	5	0	5	100.0	-32.04	
H4N5S	Y[pN]	7	2	9	77.78	-31.23	
H8N7S	Y[pH4N3]	7	2	9	77.78	-31.23	
H6N4S	Y[pN]	7	2	9	77.78	-31.23	
H4N5F2	Y[pN]	6	1	7	85.71	-30.95	
H6N4S	Y[pH2N2]	6	1	7	85.71	-30.95	
H5N5F	Y[pN]	10	7	17	58.82	-28.23	
H5N4F2S	Y[pH3N3S]	20	26	46	43.48	-28.15	
H5N4F2S	Y[pH5N4S]	17	20	37	45.95	-27.86	
H6N3	Y[pN2]	7	3	10	70.0	-26.96	
H6N4FS	Y[pH2N2]	7	3	10	70.0	-26.96	
H6N4S	Y[pH3N2]	7	3	10	70.0	-26.96	
H5N4FS	Y[pN2]	12	11	23	52.17	-26.82	
H6N4S	Y[pH3N3]	6	2	8	75.0	-25.87	
H4N5F	Y[pH3N3]	6	2	8	75.0	-25.87	
H3N5F	Y[pNF]	6	2	8	75.0	-25.87	
H3N4	Y[pN]	6	2	8	75.0	-25.87	
H5N3F	Y[pH3N2F]	4	0	4	100.0	-25.63	
H4N5	Y[p]	4	0	4	100.0	-25.63	
H5N3F	Y[pN2]	4	0	4	100.0	-25.63	
H6N5F2S	Y[pN]	4	0	4	100.0	-25.63	
H8N7S	Y[pHN2]	5	1	6	83.33	-25.18	
H4N5FS	Y[pN2]	5	1	6	83.33	-25.18	
H5N4F3	Y[pH4N3]	5	1	6	83.33	-25.18	
H5N3	Y[pN2]	5	1	6	83.33	-25.18	
H4N5F	Y[pH4N3F]	5	1	6	83.33	-25.18	
H5N4FS2	Y[pN]	43	84	127	33.86	-25.17	
H5N4F3S	Y[pH3N2]	8	5	13	61.54	-25.07	
H8N7S	Y[pH3N3S]	7	4	11	63.64	-23.53	
H4N4	Y[pN]	7	4	11	63.64	-23.53	
H5N3	Y[p]	6	3	9	66.67	-22.03	
H7N6	Y[pN]	6	3	9	66.67	-22.03	
H4N5S	Y[pN2]	6	3	9	66.67	-22.03	
H4N4F	Y[pN]	10	10	20	50.0	-21.42	
H5N4F3S	Y[pNF]	7	5	12	58.33	-20.67	
H4N3F	Y[pH2N2]	5	2	7	71.43	-20.65	
H8N7S	Y[pH4N4]	5	2	7	71.43	-20.65	
H5N3	Y[pH2N2]	5	2	7	71.43	-20.65	
H3N6F	Y[pH3N4F]	5	2	7	71.43	-20.65	
H4N4S	Y[pN]	8	7	15	53.33	-20.01	
H4N4F2	Y[pN]	4	1	5	80.0	-19.52	
H5N4F3	Y[pH2N2]	4	1	5	80.0	-19.52	
H6N4FS	Y[pH3N3]	4	1	5	80.0	-19.52	
H3N4F	Y[pH3N2]	4	1	5	80.0	-19.52	
H3N6F	Y[pN]	4	1	5	80.0	-19.52	
H5N4F3	Y[pH3N3F]	4	1	5	80.0	-19.52	
H4N3F	Y[pN2]	4	1	5	80.0	-19.52	
H5N4F3	Y[pN2]	3	0	3	100.0	-19.22	
H4N4F2	Y[pH3N3F]	3	0	3	100.0	-19.22	
H6N5F2S	Y[pH3N3]	3	0	3	100.0	-19.22	
H3N6F	Y[pH3N3F]	3	0	3	100.0	-19.22	
H5N4F2S	Y[pH4N3F]	3	0	3	100.0	-19.22	
H4N6	Y[pN]	3	0	3	100.0	-19.22	
H3N3F	Y[pN]	3	0	3	100.0	-19.22	
H5N4F3S	Y[pH3N3]	6	4	10	60.0	-18.98	
H3N5	Y[pN]	6	4	10	60.0	-18.98	
H5N4F3S	Y[pH4N3]	6	4	10	60.0	-18.98	
H5N4F2	Y[pHN2]	7	6	13	53.85	-18.26	
H5N4F4	Y[pH2N2]	7	6	13	53.85	-18.26	
H5N3	Y[pH3N2]	5	3	8	62.5	-17.29	
H6N4S	Y[pH5N4]	5	3	8	62.5	-17.29	
H6N5FS3	Y[pN]	37	81	118	31.36	-16.8	
H3N5F	Y[pH3N3F]	6	5	11	54.55	-16.48	
H4N4F	Y[pH3N3F]	9	11	20	45.0	-16.25	
H3N4F	Y[pN]	8	9	17	47.06	-16.15	
H5N4F4	Y[pN]	8	9	17	47.06	-16.15	
H5N4F3S	Y[pHN2]	4	2	6	66.67	-15.62	
H4N3F	Y[pNF]	4	2	6	66.67	-15.62	
H4N4	Y[pH3N3]	4	2	6	66.67	-15.62	
H4N3F	Y[pH3N2]	4	2	6	66.67	-15.62	
H8N7F	Y[pN]	4	2	6	66.67	-15.62	
H5N5	Y[pH3N4]	4	2	6	66.67	-15.62	
H7N6	Y[pH3N3]	4	2	6	66.67	-15.62	
H4N3F	Y[pH3N2F]	4	2	6	66.67	-15.62	
H4N5FS	Y[pH4N4F]	4	2	6	66.67	-15.62	
H3N4F	Y[pH3N3]	5	4	9	55.56	-14.67	
H6N3S	Y[pH2N2]	8	10	18	44.44	-14.55	
H5N3S	Y[pN]	8	10	18	44.44	-14.55	
H5N4FS2	Y[pH3N2]	23	47	70	32.86	-14.45	
H5N3S	Y[pH2N2]	7	8	15	46.67	-14.4	
H4N5F	Y[pH2N3]	6	6	12	50.0	-14.39	
H3N5F	Y[pH2N3F]	6	6	12	50.0	-14.39	
H4N5FS	Y[pH3N3]	3	1	4	75.0	-14.02	
H6N4S	Y[pN2]	3	1	4	75.0	-14.02	
H5N4F3	Y[pH3N3]	3	1	4	75.0	-14.02	
H3N4	Y[pH3N2]	3	1	4	75.0	-14.02	
H5N3F	Y[pNF]	3	1	4	75.0	-14.02	
H5N3F	Y[pHN2]	3	1	4	75.0	-14.02	
H6N4FS	Y[pH3N2]	3	1	4	75.0	-14.02	
H5N4F3	Y[pH3N2]	3	1	4	75.0	-14.02	
H6N4FS	Y[pHN2]	3	1	4	75.0	-14.02	
H6N6F	Y[pN]	3	1	4	75.0	-14.02	
H5N3F	Y[pH4N2]	3	1	4	75.0	-14.02	
H8N7F	Y[pH2N2]	3	1	4	75.0	-14.02	
H6N4FS	Y[pH4N3]	3	1	4	75.0	-14.02	
H5N4FS	Y[pN]	26	57	83	31.33	-13.23	
H3N4F	Y[pH2N2]	8	11	19	42.11	-13.12	
H6N5FS3	Y[pH5N4S]	20	41	61	32.79	-13.08	
H3N4	Y[pHN2]	2	0	2	100.0	-12.81	
H9N9F	Y[pH2N2]	2	0	2	100.0	-12.81	
H5N4F3	Y[pHN2]	2	0	2	100.0	-12.81	
H4N5FS	Y[pH2N2F]	2	0	2	100.0	-12.81	
H4N6	Y[pN2]	2	0	2	100.0	-12.81	
H9N9F	Y[pH3N2]	2	0	2	100.0	-12.81	
H5N3F	Y[pH2N2F]	2	0	2	100.0	-12.81	
H4N5	Y[pHN2]	2	0	2	100.0	-12.81	
H5N4F3S2	Y[pN]	2	0	2	100.0	-12.81	
H4N5F	Y[pH2N2]	2	0	2	100.0	-12.81	
H3N3F	Y[pH3N2]	2	0	2	100.0	-12.81	
H5N4F3S2	Y[pH5N4]	2	0	2	100.0	-12.81	
H3N6F	Y[pH3N4]	2	0	2	100.0	-12.81	
H6N7	Y[pN]	2	0	2	100.0	-12.81	
H3N5F	Y[pH3N3]	2	0	2	100.0	-12.81	
H4N5F2	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N4	Y[pN]	2	0	2	100.0	-12.81	
H5N4F3	Y[pNF]	2	0	2	100.0	-12.81	
H4N4F2	Y[pH4N3F]	2	0	2	100.0	-12.81	
H9N9F	Y[pN]	2	0	2	100.0	-12.81	
H9N9F	Y[pH4N4]	2	0	2	100.0	-12.81	
H4N5	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N4	Y[pH3N2]	2	0	2	100.0	-12.81	
H4N5FS	Y[pH2N2]	2	0	2	100.0	-12.81	
H3N5F	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N4	Y[pH2N2]	2	0	2	100.0	-12.81	
H4N5FS	Y[pH3N2F]	2	0	2	100.0	-12.81	
H6N4	Y[pHN2]	2	0	2	100.0	-12.81	
H5N4F3S	Y[pH4N4]	2	0	2	100.0	-12.81	
H5N4F3S2	Y[pH4N4]	2	0	2	100.0	-12.81	
H5N4F3	Y[pH5N4]	2	0	2	100.0	-12.81	
H5N5F2	Y[pN]	2	0	2	100.0	-12.81	
H9N9F	Y[pH5N4]	2	0	2	100.0	-12.81	
H5N4F2	Y[pH4N3F]	2	0	2	100.0	-12.81	
H4N4F2	Y[pH2N3F2]	2	0	2	100.0	-12.81	
H6N4	Y[pH3N3]	2	0	2	100.0	-12.81	
H6N7	Y[pH4N4]	2	0	2	100.0	-12.81	
H6N5F2S	Y[pH4N3]	2	0	2	100.0	-12.81	
H5N6F	Y[pNF]	2	0	2	100.0	-12.81	
H3N3F	Y[pH2N2]	2	0	2	100.0	-12.81	
H5N4F2S	Y[pH4N4F]	2	0	2	100.0	-12.81	
H4N5F	Y[pH2N2F]	2	0	2	100.0	-12.81	
H5N4F3S	Y[pH5N4S]	2	0	2	100.0	-12.81	
H3N4F2	Y[pH2N3F]	2	0	2	100.0	-12.81	
H5N4F3S2	Y[pH3N3]	2	0	2	100.0	-12.81	
H5N3F	Y[pH2N2]	2	0	2	100.0	-12.81	
H6N5FS2	Y[pH6N5]	4	3	7	57.14	-12.79	
H8N7S	Y[pN2]	4	3	7	57.14	-12.79	
H5N3	Y[pHN2]	4	3	7	57.14	-12.79	
H5N5S2	Y[pN]	4	3	7	57.14	-12.79	
H5N5	Y[pH2N3]	5	5	10	50.0	-12.54	
H6N3	Y[pH2N2]	5	5	10	50.0	-12.54	
H4N4F	Y[pH3N2]	5	5	10	50.0	-12.54	
H6N5S	Y[pN]	10	17	27	37.04	-11.62	
H6N2	Y[pN]	7	10	17	41.18	-11.45	
H6N3S	Y[pH3N2]	7	10	17	41.18	-11.45	
H4N4F	Y[pH2N3F]	7	10	17	41.18	-11.45	
H4N5F	Y[pH3N4F]	6	8	14	42.86	-11.09	
H5N4FS2	Y[p]	6	8	14	42.86	-11.09	
H5N4F4	Y[pH3N3]	6	8	14	42.86	-11.09	
H5N4F3	Y[pH5N4F]	3	2	5	60.0	-10.84	
H4N5F	Y[pH3N4]	3	2	5	60.0	-10.84	
H3N4	Y[pH2N2]	3	2	5	60.0	-10.84	
H4N3F	Y[pH4N2]	3	2	5	60.0	-10.84	
H5N4F4	Y[pHN2]	3	2	5	60.0	-10.84	
H3N4	Y[pN2]	3	2	5	60.0	-10.84	
H3N5F	Y[pN2F]	3	2	5	60.0	-10.84	
H5N4F4	Y[pH3N2]	5	6	11	45.45	-10.79	
H4N4F	Y[pHN2]	5	6	11	45.45	-10.79	
H4N4F	Y[pNF]	8	13	21	38.1	-10.69	
H6N5FS2	Y[pH2N2]	8	13	21	38.1	-10.69	
H5N3	Y[pH4N2]	4	4	8	50.0	-10.63	
H4N5	Y[pN2]	4	4	8	50.0	-10.63	
H4N4	Y[pH3N2]	4	4	8	50.0	-10.63	
H5N4F4	Y[pH5N4]	4	4	8	50.0	-10.63	
H5N4F3S	Y[pH2N2F]	4	4	8	50.0	-10.63	
H5N5FS	Y[pN]	7	11	18	38.89	-10.23	
H5N2	Y[pN]	9	16	25	36.0	-10.16	
H5N4F	Y[pN2]	10	19	29	34.48	-9.77	
H5N4F3S	Y[pH4N3F]	5	7	12	41.67	-9.32	
H4N4	Y[pH2N2]	5	7	12	41.67	-9.32	
H5N4FS2	Y[pH2N2]	24	59	83	28.92	-9.21	
H5N4F4	Y[pN2]	4	5	9	44.44	-8.92	
H5N3S	Y[pH4N3]	4	5	9	44.44	-8.92	
H5N4F3S	Y[pN2]	4	5	9	44.44	-8.92	
H6N3S	Y[p]	4	5	9	44.44	-8.92	
H5N5	Y[pH3N3]	4	5	9	44.44	-8.92	
H5N4F	Y[p]	4	5	9	44.44	-8.92	
H6N3	Y[pHN2]	4	5	9	44.44	-8.92	
H5N4F3S	Y[pH3N2F]	4	5	9	44.44	-8.92	
H5N5F	Y[pH4N4]	2	1	3	66.67	-8.76	
H8N7F	Y[pH3N3]	2	1	3	66.67	-8.76	
H5N6F	Y[pH4N4F]	2	1	3	66.67	-8.76	
H7N6F	Y[pH3N3]	2	1	3	66.67	-8.76	
H5N5	Y[pH4N3]	2	1	3	66.67	-8.76	
H4N5F	Y[p]	2	1	3	66.67	-8.76	
H6N5FS2	Y[pH5N5]	2	1	3	66.67	-8.76	
H6N4S	Y[pHN2]	2	1	3	66.67	-8.76	
H4N5S	Y[pH3N2]	2	1	3	66.67	-8.76	
H6N4	Y[pH4N3]	2	1	3	66.67	-8.76	
H7N4S	Y[pN]	2	1	3	66.67	-8.76	
H8N7S	Y[pH4N3S]	2	1	3	66.67	-8.76	
H4N4	Y[pH4N2]	2	1	3	66.67	-8.76	
H5N6F	Y[pN]	2	1	3	66.67	-8.76	
H7N6FS4	Y[pH6N5S]	2	1	3	66.67	-8.76	
H8N7S	Y[pH6N5S]	2	1	3	66.67	-8.76	
H7N6S	Y[pH4N4]	2	1	3	66.67	-8.76	
H6N3S	Y[pH4N3]	2	1	3	66.67	-8.76	
H4N5S	Y[p]	2	1	3	66.67	-8.76	
H6N4FS	Y[p]	2	1	3	66.67	-8.76	
H4N5S2	Y[pN]	2	1	3	66.67	-8.76	
H5N5S	Y[pH5N5]	2	1	3	66.67	-8.76	
H5N4F3	Y[pH3N2F]	2	1	3	66.67	-8.76	
H5N4F2	Y[pH4N4]	2	1	3	66.67	-8.76	
H7N6	Y[pHN2]	2	1	3	66.67	-8.76	
H8N7F	Y[pH4N3]	2	1	3	66.67	-8.76	
H5N3F	Y[p]	2	1	3	66.67	-8.76	
H4N3F	Y[pHN2F]	2	1	3	66.67	-8.76	
H4N5F	Y[pH4N4]	2	1	3	66.67	-8.76	
H3N7F	Y[pH3N5F]	2	1	3	66.67	-8.76	
H4N5	Y[pH2N3]	3	3	6	50.0	-8.63	
H4N3F	Y[pH2N2F]	3	3	6	50.0	-8.63	
H4N4F	Y[pN2]	3	3	6	50.0	-8.63	
H5N4F3S	Y[pH3N3FS]	3	3	6	50.0	-8.63	
H4N5S	Y[pH3N3]	3	3	6	50.0	-8.63	
H7N6FS4	Y[pH5N4]	3	3	6	50.0	-8.63	
H4N5F	Y[pN2F]	3	3	6	50.0	-8.63	
H5N3S	Y[p]	3	3	6	50.0	-8.63	
H5N4F	Y[pH4N4F]	3	3	6	50.0	-8.63	
H5N4F4	Y[pH4N3]	6	10	16	37.5	-8.62	
H6N5FS3	Y[pH4N3]	18	43	61	29.51	-8.54	
H6N5FS2	Y[pH5N4]	9	18	27	33.33	-8.42	
H4N4F	Y[pH2N2]	7	13	20	35.0	-8.17	
H4N4F	Y[pH3N3]	7	13	20	35.0	-8.17	
H5N4F3S	Y[pH3N3F]	5	8	13	38.46	-8.08	
H6N5FS3	Y[pHN2]	13	30	43	30.23	-7.81	
H6N5S2	Y[pN]	14	33	47	29.79	-7.73	
H4N4F	Y[pN2F]	4	6	10	40.0	-7.53	
H6N5FS3	Y[pH3N2]	4	6	10	40.0	-7.53	
H6N5FS2	Y[pHN2]	4	6	10	40.0	-7.53	
H4N3	Y[pN]	4	6	10	40.0	-7.53	
H5N5F	Y[pN2]	4	6	10	40.0	-7.53	
H7N2	Y[pN]	4	6	10	40.0	-7.53	
H6N5FS2	Y[pN]	11	25	36	30.56	-7.4	
H5N4F	Y[pN]	16	40	56	28.57	-7.14	
H6N5FS3	Y[pH3N3]	24	64	88	27.27	-7.13	
H6N5S2	Y[pH2N2]	8	17	25	32.0	-7.11	
H6N5FS3	Y[pH2N2]	20	52	72	27.78	-7.1	
H5N4FS2	Y[pH5N4S]	5	9	14	35.71	-7.01	
H5N4FS	Y[pH5N4]	5	9	14	35.71	-7.01	
H3N4F	Y[pHN2F]	5	9	14	35.71	-7.01	
H5N4F	Y[pN2F]	3	4	7	42.86	-6.97	
H3N5	Y[pH3N3]	3	4	7	42.86	-6.97	
H5N5	Y[pH4N4]	3	4	7	42.86	-6.97	
H6N4S	Y[pH4N2]	3	4	7	42.86	-6.97	
H5N4F	Y[pH2N3F]	3	4	7	42.86	-6.97	
H6N5FS2	Y[pH3N2]	3	4	7	42.86	-6.97	
H5N5F	Y[pH3N3]	3	4	7	42.86	-6.97	
H7N6S4	Y[pH5N4S]	3	4	7	42.86	-6.97	
H7N6S4	Y[pH5N4]	3	4	7	42.86	-6.97	
H7N6	Y[pH2N2]	3	4	7	42.86	-6.97	
H3N4F	Y[pH2N2F]	6	12	18	33.33	-6.72	
H7N6	Y[pH4N3]	2	2	4	50.0	-6.45	
H7N6FS4	Y[pH4N4]	2	2	4	50.0	-6.45	
H9N2	Y[pN]	2	2	4	50.0	-6.45	
H5N4F2S	Y[pH4N4S]	2	2	4	50.0	-6.45	
H7N6S	Y[pN]	2	2	4	50.0	-6.45	
H4N5S	Y[pH4N3]	2	2	4	50.0	-6.45	
H5N5	Y[pH5N4]	2	2	4	50.0	-6.45	
H3N5F	Y[pH3N4]	2	2	4	50.0	-6.45	
H7N6S4	Y[pH4N4]	2	2	4	50.0	-6.45	
H5N3S	Y[pH3N3]	2	2	4	50.0	-6.45	
H3N5F	Y[pN2]	2	2	4	50.0	-6.45	
H7N6S	Y[pH3N3]	2	2	4	50.0	-6.45	
H7N6S	Y[pH5N4]	2	2	4	50.0	-6.45	
H4N5S	Y[pH4N4]	2	2	4	50.0	-6.45	
H4N4	Y[p]	2	2	4	50.0	-6.45	
H3N3	Y[pN]	2	2	4	50.0	-6.45	
H4N5S	Y[pHN2]	2	2	4	50.0	-6.45	
H5N4FS	Y[p]	2	2	4	50.0	-6.45	
H4N5S	Y[pH2N2]	2	2	4	50.0	-6.45	
H5N5	Y[pH5N3]	1	0	1	100.0	-6.41	
H7N6S4	Y[pH7N6S2]	1	0	1	100.0	-6.41	
H5N4F4	Y[pH4N4F4]	1	0	1	100.0	-6.41	
H6N5F	Y[p]	1	0	1	100.0	-6.41	
H4N6	Y[pH3N3]	1	0	1	100.0	-6.41	
H4N5F2	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N3S	Y[pH3N3]	1	0	1	100.0	-6.41	
H4N4F2	Y[pHN2F]	1	0	1	100.0	-6.41	
H4N5FS	Y[pH4N4S]	1	0	1	100.0	-6.41	
H8N7S	Y[pH3N4S]	1	0	1	100.0	-6.41	
H3N5F	Y[pHN2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pH3N3F2]	1	0	1	100.0	-6.41	
H5N6F	Y[pN2]	1	0	1	100.0	-6.41	
