label	nonspec	spec	total	percent	fisherscore	
H4N6	Y[pH2N2]	1	0	1	100.0	-6.41	
H6N4S	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5	Y[pH4N3]	1	0	1	100.0	-6.41	
H7N6FS4	Y[pH6N5]	1	0	1	100.0	-6.41	
H3N5F	Y[pH2N2F]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH4N4F]	1	0	1	100.0	-6.41	
H7N4S	Y[pH4N3S]	1	0	1	100.0	-6.41	
H7N6FS4	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N5FS2	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N5	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N5F	Y[pH4N3]	1	0	1	100.0	-6.41	
H8N7S	Y[pH3N2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pH2N3F2]	1	0	1	100.0	-6.41	
H4N5S2	Y[pH2N2]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH5N4]	1	0	1	100.0	-6.41	
H4N6S	Y[pH3N3]	1	0	1	100.0	-6.41	
H3N3F	Y[pHN2]	1	0	1	100.0	-6.41	
H6N5F2	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N6F	Y[pH4N3F]	1	0	1	100.0	-6.41	
H3N6	Y[pH2N4]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH4N3]	1	0	1	100.0	-6.41	
H6N3	Y[pH3N3]	1	0	1	100.0	-6.41	
H4N6	Y[pH2N3]	1	0	1	100.0	-6.41	
H11N2	Y[p]	1	0	1	100.0	-6.41	
H3N3F	Y[pHN2F]	1	0	1	100.0	-6.41	
H7N4S	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH2N3F]	1	0	1	100.0	-6.41	
H7N4S	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N5FS2	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5FS	Y[pH4N5]	1	0	1	100.0	-6.41	
H9N9F	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N4	Y[pH5N4]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH6N5]	1	0	1	100.0	-6.41	
H5N5F2	Y[pN2]	1	0	1	100.0	-6.41	
H7N6F4S	Y[pH5N4]	1	0	1	100.0	-6.41	
H4N3F	Y[pH4N3F]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH2N2]	1	0	1	100.0	-6.41	
H5N5S	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N5FS	Y[pH4N4]	1	0	1	100.0	-6.41	
H3N5	Y[pHN2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pHN2F2]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH4N4F]	1	0	1	100.0	-6.41	
H4N4F2	Y[pN2]	1	0	1	100.0	-6.41	
H4N5F	Y[pH3N2F]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH3N4F2]	1	0	1	100.0	-6.41	
H3N6F	Y[pH3N2F]	1	0	1	100.0	-6.41	
H5N5FS2	Y[pH4N4]	1	0	1	100.0	-6.41	
H6N5FS	Y[pH4N4S]	1	0	1	100.0	-6.41	
H4N6S	Y[pH4N4]	1	0	1	100.0	-6.41	
H4N5F2S	Y[pNF]	1	0	1	100.0	-6.41	
H3N3F	Y[pNF]	1	0	1	100.0	-6.41	
H8N7S	Y[pH5N5]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH4N3]	1	0	1	100.0	-6.41	
H4N5F2S	Y[pN]	1	0	1	100.0	-6.41	
H4N6	Y[pH4N4]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH5N5]	1	0	1	100.0	-6.41	
H7N4S	Y[pH4N3]	1	0	1	100.0	-6.41	
H6N4FS	Y[pH5N4S]	1	0	1	100.0	-6.41	
H3N6	Y[pH3N3]	1	0	1	100.0	-6.41	
H5N4F3S	Y[pH4N3S]	1	0	1	100.0	-6.41	
H3N4F2	Y[pN2F]	1	0	1	100.0	-6.41	
H6N6F	Y[pH5N5]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH4N5]	1	0	1	100.0	-6.41	
H6N4FS	Y[pH4N3S]	1	0	1	100.0	-6.41	
H4N6	Y[pH3N4]	1	0	1	100.0	-6.41	
H3N5F	Y[pH3N5F]	1	0	1	100.0	-6.41	
H7N4S	Y[pN2]	1	0	1	100.0	-6.41	
H4N5FS	Y[p]	1	0	1	100.0	-6.41	
H5N4F3S	Y[pH3N3S]	1	0	1	100.0	-6.41	
H5N4S	Y[pH3N4]	1	0	1	100.0	-6.41	
H4N7	Y[pN]	1	0	1	100.0	-6.41	
H5N5F2	Y[pNF]	1	0	1	100.0	-6.41	
H5N4F3S	Y[p]	1	0	1	100.0	-6.41	
H4N6S	Y[pH3N4]	1	0	1	100.0	-6.41	
H7N6FS4	Y[pH5N5]	1	0	1	100.0	-6.41	
H8N7F	Y[pH4N3F]	1	0	1	100.0	-6.41	
H7N6FS2	Y[pH4N3]	1	0	1	100.0	-6.41	
H5N4F2	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5F2S	Y[pH3N4F2]	1	0	1	100.0	-6.41	
H7N6S4	Y[pH5N5]	1	0	1	100.0	-6.41	
H4N5F2	Y[pH4N4]	1	0	1	100.0	-6.41	
H5N3F	Y[pH5N2]	1	0	1	100.0	-6.41	
H3N5	Y[pH2N2]	1	0	1	100.0	-6.41	
H5N6F	Y[pH5N4]	1	0	1	100.0	-6.41	
H7N4S	Y[pH2N3]	1	0	1	100.0	-6.41	
H5N4F3S	Y[pH3N4]	1	0	1	100.0	-6.41	
H3N6F2	Y[pH3N4F]	1	0	1	100.0	-6.41	
H5N5S	Y[pH4N5]	1	0	1	100.0	-6.41	
H3N7F	Y[pN2]	1	0	1	100.0	-6.41	
H4N5	Y[pH3N2]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pN2]	1	0	1	100.0	-6.41	
H11N2	Y[pH2N2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pH2N2F2]	1	0	1	100.0	-6.41	
H5N5FS2	Y[p]	1	0	1	100.0	-6.41	
H3N6	Y[pN]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH4N4]	1	0	1	100.0	-6.41	
H7N4S	Y[pH2N2]	1	0	1	100.0	-6.41	
H4N5F2	Y[pH4N5]	1	0	1	100.0	-6.41	
H4N6S	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5S2	Y[pN2]	1	0	1	100.0	-6.41	
H4N5F2	Y[pN2]	1	0	1	100.0	-6.41	
H6N7	Y[pH2N2]	1	0	1	100.0	-6.41	
H6N6FS	Y[pH4N4]	1	0	1	100.0	-6.41	
H4N5FS	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N6	Y[p]	1	0	1	100.0	-6.41	
H3N6F2	Y[pH3N2F]	1	0	1	100.0	-6.41	
H6N4	Y[pH2N3]	1	0	1	100.0	-6.41	
H6N7	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH4N3S]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH2N3]	1	0	1	100.0	-6.41	
H3N4	Y[p]	1	0	1	100.0	-6.41	
H5N6F	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N5FS	Y[pH5N5]	1	0	1	100.0	-6.41	
H7N6	Y[pH3N2]	1	0	1	100.0	-6.41	
H6N4S	Y[pH4N4]	1	0	1	100.0	-6.41	
H6N5S	Y[pH5N5]	1	0	1	100.0	-6.41	
H6N4S	Y[pH5N4S]	1	0	1	100.0	-6.41	
H7N5FS2	Y[pH6N5S2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pH2N2F]	1	0	1	100.0	-6.41	
H6N5F2S	Y[pH5N4]	1	0	1	100.0	-6.41	
H6N4	Y[p]	1	0	1	100.0	-6.41	
H4N6S	Y[pN]	1	0	1	100.0	-6.41	
H4N4F2	Y[pNF]	1	0	1	100.0	-6.41	
H6N4	Y[pH4N2]	1	0	1	100.0	-6.41	
H7N6S4	Y[pH6N5]	1	0	1	100.0	-6.41	
H4N6	Y[pH3N2]	1	0	1	100.0	-6.41	
H5N4F3S	Y[pH4N4F]	1	0	1	100.0	-6.41	
H3N4F2	Y[pN2F2]	1	0	1	100.0	-6.41	
H5N4F4	Y[pH2N3]	1	0	1	100.0	-6.41	
H8N7F	Y[pHN2]	1	0	1	100.0	-6.41	
H6N5FS	Y[pH4N5]	1	0	1	100.0	-6.41	
H3N6	Y[pH2N3]	1	0	1	100.0	-6.41	
H4N5F2S	Y[pH2N2]	1	0	1	100.0	-6.41	
H9N9F	Y[pH4N3]	1	0	1	100.0	-6.41	
H11N2	Y[pN]	1	0	1	100.0	-6.41	
H3N3F	Y[pN2]	1	0	1	100.0	-6.41	
H5N5F2	Y[pH3N3]	1	0	1	100.0	-6.41	
H4N5S2	Y[pH3N3]	1	0	1	100.0	-6.41	
H6N4FS	Y[pH3N3S]	1	0	1	100.0	-6.41	
H3N7F	Y[pN]	1	0	1	100.0	-6.41	
H5N4F3S2	Y[pH4N3]	1	0	1	100.0	-6.41	
H7N4S	Y[pHN2]	1	0	1	100.0	-6.41	
H3N4F2	Y[pHN2F]	1	0	1	100.0	-6.41	
H3N6	Y[pH2N2]	1	0	1	100.0	-6.41	
H4N4F2	Y[pH3N3F2]	1	0	1	100.0	-6.41	
H4N5F	Y[pH3N2]	1	0	1	100.0	-6.41	
H4N6	Y[pH3N5]	1	0	1	100.0	-6.41	
H3N6	Y[pH3N4]	1	0	1	100.0	-6.41	
H6N5FS	Y[pHN2]	1	0	1	100.0	-6.41	
H4N5F	Y[pH4N4F]	4	7	11	36.36	-6.38	
H5N5S	Y[pH2N3]	4	7	11	36.36	-6.38	
H5N4F	Y[pH3N3F]	10	24	34	29.41	-6.29	
H5N5	Y[pN]	5	10	15	33.33	-6.1	
H6N5FS3	Y[pH5N4]	18	49	67	26.87	-5.88	
H5N4F	Y[pNF]	10	25	35	28.57	-5.75	
H5N4F3S	Y[pH5N4F]	3	5	8	37.5	-5.7	
H4N3	Y[pH3N2]	3	5	8	37.5	-5.7	
H6N3	Y[pH3N2]	3	5	8	37.5	-5.7	
H7N6FS4	Y[pH3N3]	3	5	8	37.5	-5.7	
H7N6FS4	Y[pH5N4S]	3	5	8	37.5	-5.7	
H3N4F	Y[pN2]	3	5	8	37.5	-5.7	
H5N5S	Y[pH4N4]	3	5	8	37.5	-5.7	
H5N5F	Y[pH3N4F]	4	8	12	33.33	-5.43	
H5N5F	Y[pNF]	4	8	12	33.33	-5.43	
H6N2	Y[p]	4	8	12	33.33	-5.43	
H5N5F	Y[pH4N4F]	4	8	12	33.33	-5.43	
H6N4S	Y[pH5N3]	4	8	12	33.33	-5.43	
H3N4F	Y[pHN2]	4	8	12	33.33	-5.43	
H4N4S	Y[pH2N2]	5	11	16	31.25	-5.31	
H6N5FS3	Y[pH4N3S]	8	20	28	28.57	-5.22	
H5N4FS2	Y[pH4N3]	22	64	86	25.58	-5.05	
H4N5F2	Y[pH4N4F]	2	3	5	40.0	-4.92	
H4N5FS	Y[pH2N3]	2	3	5	40.0	-4.92	
H7N6S4	Y[pH6N5S2]	2	3	5	40.0	-4.92	
H4N5	Y[pH3N3]	2	3	5	40.0	-4.92	
H6N5	Y[pH4N4]	2	3	5	40.0	-4.92	
H7N6S4	Y[pH3N3S]	2	3	5	40.0	-4.92	
H5N5FS2	Y[pH3N3]	2	3	5	40.0	-4.92	
H7N6F	Y[pN]	2	3	5	40.0	-4.92	
H5N4F2S	Y[pNF]	2	3	5	40.0	-4.92	
H4N3S	Y[pH3N3]	2	3	5	40.0	-4.92	
H5N4F3	Y[pH4N3F]	2	3	5	40.0	-4.92	
H5N5S	Y[pH4N3]	2	3	5	40.0	-4.92	
H4N4	Y[pH2N3]	2	3	5	40.0	-4.92	
H3N5F	Y[pH2N3]	2	3	5	40.0	-4.92	
H6N5F	Y[pN]	8	21	29	27.59	-4.71	
H3N5	Y[pH2N3]	3	6	9	33.33	-4.69	
H4N4	Y[pN2]	3	6	9	33.33	-4.69	
H6N5F	Y[pH4N4F]	3	6	9	33.33	-4.69	
H7N6S4	Y[pH3N3]	3	6	9	33.33	-4.69	
H5N4F2S	Y[pH4N4]	3	6	9	33.33	-4.69	
H5N5S	Y[pN2]	3	6	9	33.33	-4.69	
H5N4F3S	Y[pH4N3FS]	3	6	9	33.33	-4.69	
H6N3	Y[p]	3	6	9	33.33	-4.69	
H7N6S4	Y[pN]	3	6	9	33.33	-4.69	
H3N5F	Y[pH3N4F]	3	6	9	33.33	-4.69	
H3N5	Y[pN2]	3	6	9	33.33	-4.69	
H5N5FS	Y[pN2]	3	6	9	33.33	-4.69	
H5N5S	Y[pH3N3]	3	6	9	33.33	-4.69	
H4N4F	Y[pHN2F]	4	9	13	30.77	-4.63	
H6N5S2	Y[pH6N5]	4	9	13	30.77	-4.63	
H6N5S2	Y[pH5N4]	10	28	38	26.32	-4.37	
H5N4F	Y[pH3N3]	7	19	26	26.92	-4.17	
H5N4FS	Y[pH4N4F]	5	13	18	27.78	-4.02	
H5N4FS2	Y[pH5N4]	4	10	14	28.57	-3.95	
H5N6F	Y[pH2N3F]	1	1	2	50.0	-3.92	
H4N4F2	Y[pH4N4]	1	1	2	50.0	-3.92	
H7N6	Y[pH4N4]	1	1	2	50.0	-3.92	
H4N3F	Y[pN2F]	1	1	2	50.0	-3.92	
H5N6F	Y[pH5N4F]	1	1	2	50.0	-3.92	
H7N6F	Y[pH4N4F]	1	1	2	50.0	-3.92	
H7N6F	Y[pH3N3F]	1	1	2	50.0	-3.92	
H8N7F	Y[pH5N4]	1	1	2	50.0	-3.92	
H7N5FS2	Y[pH5N4S]	1	1	2	50.0	-3.92	
H6N5F2	Y[pHN2]	1	1	2	50.0	-3.92	
H5N5FS2	Y[pHN3]	1	1	2	50.0	-3.92	
H4N5S2	Y[pH4N3]	1	1	2	50.0	-3.92	
H6N5FS3	Y[pH3N4F]	1	1	2	50.0	-3.92	
H6N6S	Y[pN]	1	1	2	50.0	-3.92	
H5N4F2	Y[pH3N3F]	1	1	2	50.0	-3.92	
H6N5S	Y[pH4N4S]	1	1	2	50.0	-3.92	
H4N5F2	Y[pH3N2]	1	1	2	50.0	-3.92	
H4N4F2	Y[pH2N3]	1	1	2	50.0	-3.92	
H3N6F	Y[pH3N5]	1	1	2	50.0	-3.92	
H7N6F4S	Y[pH3N3]	1	1	2	50.0	-3.92	
H6N5F2	Y[pH2N2]	1	1	2	50.0	-3.92	
H6N5FS2	Y[pH4N4S]	1	1	2	50.0	-3.92	
H5N5S2	Y[pHN3]	1	1	2	50.0	-3.92	
H6N5FS2	Y[pH4N3S]	1	1	2	50.0	-3.92	
H5N4F2	Y[pH2N2F]	1	1	2	50.0	-3.92	
H6N7	Y[pH5N5]	1	1	2	50.0	-3.92	
H6N6F	Y[pH4N4]	1	1	2	50.0	-3.92	
H7N6F4S	Y[pN]	1	1	2	50.0	-3.92	
H6N4FS	Y[pH4N3F]	1	1	2	50.0	-3.92	
H4N5S	Y[pH3N4S]	1	1	2	50.0	-3.92	
H6N4	Y[pN2]	1	1	2	50.0	-3.92	
H6N6S	Y[pH3N3]	1	1	2	50.0	-3.92	
H7N5FS2	Y[pH3N3S]	1	1	2	50.0	-3.92	
H3N6F	Y[pH2N3]	1	1	2	50.0	-3.92	
H5N5F	Y[pHN2]	1	1	2	50.0	-3.92	
H7N6S	Y[pH4N3]	1	1	2	50.0	-3.92	
H5N4FS	Y[pH5N4S]	1	1	2	50.0	-3.92	
H5N5FS2	Y[pH3N4]	1	1	2	50.0	-3.92	
H7N6FS4	Y[pH7N6FS3]	1	1	2	50.0	-3.92	
H6N6FS2	Y[pH6N6F]	1	1	2	50.0	-3.92	
H5N5	Y[pHN2]	1	1	2	50.0	-3.92	
H6N4	Y[pH5N3]	1	1	2	50.0	-3.92	
H7N6FS4	Y[pH5N4S2]	1	1	2	50.0	-3.92	
H3N3F	Y[pH2N2F]	1	1	2	50.0	-3.92	
H5N4F2	Y[pNF]	1	1	2	50.0	-3.92	
H6N5F2	Y[pN2]	1	1	2	50.0	-3.92	
H6N5S	Y[p]	1	1	2	50.0	-3.92	
H3N6F	Y[pN2]	1	1	2	50.0	-3.92	
H6N5	Y[pH6N5]	1	1	2	50.0	-3.92	
H4N5F	Y[pH4N5]	1	1	2	50.0	-3.92	
H5N4F2S	Y[pH5N4F2S]	1	1	2	50.0	-3.92	
H4N6	Y[pHN2]	1	1	2	50.0	-3.92	
H5N3F	Y[pHN2F]	1	1	2	50.0	-3.92	
H8N2	Y[pN]	3	7	10	30.0	-3.87	
H5N3S	Y[pHN2]	3	7	10	30.0	-3.87	
H4N4	Y[pHN2]	3	7	10	30.0	-3.87	
H6N4S	Y[pH6N4]	3	7	10	30.0	-3.87	
H4N5F2	Y[pH4N3F]	2	4	6	33.33	-3.82	
H5N4F2S	Y[p]	2	4	6	33.33	-3.82	
H5N5FS2	Y[pH2N3]	2	4	6	33.33	-3.82	
H7N6FS4	Y[pH6N5S2]	2	4	6	33.33	-3.82	
H6N5FS	Y[pH4N4]	2	4	6	33.33	-3.82	
H5N5FS	Y[pH3N3]	2	4	6	33.33	-3.82	
H3N4F	Y[pH2N3]	2	4	6	33.33	-3.82	
H6N5F2	Y[pN]	2	4	6	33.33	-3.82	
H7N6S4	Y[pH6N5S]	2	4	6	33.33	-3.82	
H5N4FS2	Y[pHN2]	11	33	44	25.0	-3.71	
H6N5S2	Y[pH3N3]	9	27	36	25.0	-3.53	
H6N5FS2	Y[pH4N3]	5	14	19	26.32	-3.5	
H3N4F	Y[pH2N3F]	4	11	15	26.67	-3.37	
H4N4S	Y[pH4N3]	3	8	11	27.27	-3.21	
H6N5FS2	Y[pH4N4]	3	8	11	27.27	-3.21	
H4N4S	Y[pN2]	3	8	11	27.27	-3.21	
H5N5FS2	Y[pN]	3	8	11	27.27	-3.21	
H4N4S	Y[pH3N2]	3	8	11	27.27	-3.21	
H4N4S	Y[pHN2]	3	8	11	27.27	-3.21	
H5N4FS	Y[pHN2]	6	18	24	25.0	-3.19	
H5N4F	Y[pH3N2]	8	25	33	24.24	-3.07	
H4N5F	Y[pH2N4F]	2	5	7	28.57	-3.0	
H4N5F2	Y[pH3N3F]	2	5	7	28.57	-3.0	
H5N4F2S	Y[pH3N3F]	2	5	7	28.57	-3.0	
H6N3	Y[pH5N2]	2	5	7	28.57	-3.0	
H4N3	Y[pN2]	2	5	7	28.57	-3.0	
H6N5FS	Y[pH5N4]	2	5	7	28.57	-3.0	
H6N5S3	Y[pH2N2]	17	56	73	23.29	-2.91	
H6N5FS3	Y[pH4N4]	9	29	38	23.68	-2.88	
H6N2	Y[pH2N2]	4	12	16	25.0	-2.88	
H6N5FS2	Y[pH5N4S]	4	12	16	25.0	-2.88	
H5N4FS	Y[pH3N3]	10	33	43	23.26	-2.71	
H5N4FS	Y[pH3N3F]	17	57	74	22.97	-2.7	
H5N5F	Y[pHN2F]	1	2	3	33.33	-2.67	
H7N6	Y[pH5N4]	1	2	3	33.33	-2.67	
H5N4F2S	Y[pH2N3]	1	2	3	33.33	-2.67	
H6N5F	Y[pH3N4]	1	2	3	33.33	-2.67	
H7N6F	Y[pH5N4F]	1	2	3	33.33	-2.67	
H3N6F	Y[pH2N4F]	1	2	3	33.33	-2.67	
H7N6	Y[pN2]	1	2	3	33.33	-2.67	
H7N6FS4	Y[pN]	3	9	12	25.0	-2.67	
H7N6F	Y[pH5N4]	1	2	3	33.33	-2.67	
H4N3F	Y[pH4N2F]	1	2	3	33.33	-2.67	
H4N3F	Y[pHN2]	1	2	3	33.33	-2.67	
H4N4FS	Y[pH3N3]	1	2	3	33.33	-2.67	
H5N4FS2	Y[pH4N4]	1	2	3	33.33	-2.67	
H6N5F2	Y[pH3N3]	1	2	3	33.33	-2.67	
H6N6FS	Y[pN]	1	2	3	33.33	-2.67	
H5N4F3S	Y[pH5N4FS]	1	2	3	33.33	-2.67	
H4N4F2	Y[pH2N2]	1	2	3	33.33	-2.67	
H3N3	Y[pH2N2]	1	2	3	33.33	-2.67	
H5N4F3S	Y[pH5N4]	1	2	3	33.33	-2.67	
H5N6F	Y[pH3N3F]	1	2	3	33.33	-2.67	
H8N7F	Y[pN2]	1	2	3	33.33	-2.67	
H3N3	Y[pH3N2]	1	2	3	33.33	-2.67	
H4N4F2	Y[pH3N2F]	1	2	3	33.33	-2.67	
H6N6FS2	Y[pH6N6FS]	1	2	3	33.33	-2.67	
H5N5S	Y[pH3N4]	1	2	3	33.33	-2.67	
H5N5S2	Y[pH4N3]	1	2	3	33.33	-2.67	
H7N6S4	Y[pH6N5S3]	1	2	3	33.33	-2.67	
H6N5	Y[p]	1	2	3	33.33	-2.67	
H5N5FS	Y[pH5N4F]	1	2	3	33.33	-2.67	
H5N5S	Y[pH4N4S]	1	2	3	33.33	-2.67	
H4N4F2	Y[pH2N2F]	1	2	3	33.33	-2.67	
H4N5F	Y[pH2N3F]	3	9	12	25.0	-2.67	
H5N3F	Y[pH4N3F]	1	2	3	33.33	-2.67	
H6N5F	Y[pH3N5F]	1	2	3	33.33	-2.67	
H5N5S2	Y[p]	1	2	3	33.33	-2.67	
H5N4F2S	Y[pH5N4F]	1	2	3	33.33	-2.67	
H5N5F	Y[p]	1	2	3	33.33	-2.67	
H8N2	Y[pH4N2]	1	2	3	33.33	-2.67	
H6N3	Y[pH4N3]	1	2	3	33.33	-2.67	
H5N5FS	Y[pH3N3F]	3	9	12	25.0	-2.67	
H5N5F	Y[pH3N3F]	4	13	17	23.53	-2.46	
H5N4FS	Y[pH2N2]	14	48	62	22.58	-2.43	
H5N5	Y[pN2]	2	6	8	25.0	-2.38	
H4N4F	Y[pH2N3]	2	6	8	25.0	-2.38	
